lesson,title,source,url,http_code,notes
15,Causes and Effects of Climate Change,National Geographic Video,https://video.nationalgeographic.com/video/101-videos/0000015d-3cb1-d1cb-a7fd-fcfd49980000,200,
21,Animation of the Keeling Curve,Scripps Institution of Oceanography,https://youtu.be/rEbE5fcnFVs,000,YouTube可能受地区/网络限制，建议课前测试或备选源。
23,Annual Arctic Sea Ice Minimum (1979–2015),NASA SVS,https://svs.gsfc.nasa.gov/4435/,200,
25,Animals 101: Polar Bears,National Geographic Education,https://education.nationalgeographic.org/resource/animals-101-polar-bears/,200,
