年份,宽度/mm,δ18O/‰
1980,1.24,-35.16
1960,1.452,-35.82
1940,1.095,-35.11
1920,1.298,-34.65
1900,1.661,-34.53
1880,2.024,-35.29
1860,1.613,-35.02
1840,1.691,-35.02
1820,2.193,-35.78
1800,2.338,-35.16
1780,2.966,-35.61
1760,2.036,-35.12
1740,1.741,-35.79
1720,1.588,-35.82
1700,1.519,-35.36
1680,1.758,-36.05
1660,1.287,-35.39
1640,1.422,-36.14
1620,1.089,-35.33
1600,1.535,-35.35
1580,1.811,-35.72
1560,2.87,-35.03
1540,4.977,-35.61
